domain,count
signal-segments.s-onetag.com,4
bb022166cf36f6a9b6fa88c14c17ea92.safeframe.googlesyndication.com,1
get.s-onetag.com,4
script.4dex.io,1
intake.pbstck.com,4
b3dfb75a871475bc872d6dcd211a3d05.safeframe.googlesyndication.com,1
03dbe515ea93551fb976249e43014c3c.safeframe.googlesyndication.com,1
vfd2dyn.vodafone.de,3
31db67fbaae1e62267b59b6fc5b311c5.safeframe.googlesyndication.com,1
dfp-gateway.s-onetag.com,3
boot.pbstck.com,4
onetag-geo.s-onetag.com,4
creatives.sascdn.com,1
ced.sascdn.com,2
ced-ns.sascdn.com,1
www3.smartadserver.com,1
stats.tu-bs.de,1
21ffa777.de.ioam.de,1
b46.s400.meetrics.net,1
www.storygize.net,1
usersync.getpublica.com,1
sasinator.realestate.com.au,1
trx.adscale.de,1
js.stroeermediabrands.de,2
lb1.s400.meetrics.net,1
cm.adgrx.com,6
dsp.active-agent.com,1
us.creativecdn.com,1
73a988d5a0b7098c8d45172ae37ee234.safeframe.googlesyndication.com,1
sync.ipredictive.com,1
files.giga-video.de,1
lux.speedcurve.com,1
dspcluster.adfarm1.adition.com,1
cdn.speedcurve.com,2
ib.3lift.com,1
loadeu.exelator.com,1
a.sportradarserving.com,2
d.adroll.com,3
app.trustami.com,1
api.orginfo.io,1
static.orginfo.io,1
cdn.trustami.com,1
sdk.fra-01.braze.eu,1
use.fontawesome.com,1
siegel.ausgezeichnet.org,1
retrack-kupona.kuponacdn.de,1
stats-bq.stylight.net,1
www.usemaxserver.de,2
staticcloud.linkfire.com,1
bf61191dio.bf.dynatrace.com,1
ad11.adfarm1.adition.com,3
st.dynamicyield.com,1
api.bounce-commerce.de,1
as.ad4m.at,4
r.adserver01.de,3
hal9000.redintelligence.net,2
cdn.dynamicyield.com,1
js-cdn.dynatrace.com,2
p.cquotient.com,1
async-px.dynamicyield.com,1
rcom.dynamicyield.com,1
r.mateti.net,1
wm.wiredminds.de,1
lensingmedia.blob.core.windows.net,1
consentmanager.mgr.consensu.org,4
backoffice.transmatico.com,1
trmcdn.eu,1
collector.rn.de,1
www.trustedshops.com,2
sync.1rx.io,5
cdn.congstar-congo.aoe-aws.com,1
media1.congstar-media.de,1
cdn.conversationalsdevelopment.nl,1
udc-neb.kampyle.com,1
media2.congstar-media.de,1
prf.audiencemanager.de,1
script.crazyegg.com,2
pix.hyj.mobi,1
resources.digital-cloud.medallia.eu,1
www.audiencemanager.de,1
congstar-congstar.digitalcx.com,1
4395928.fls.doubleclick.net,1
usu.congstar.net,1
s.pubmine.com,1
3xpgeyj8p0.kameleoon.eu,1
sync.targeting.unrulymedia.com,4
d35ojb8dweouoy.cloudfront.net,1
02179916.akstat.io,1
img.youtube.com,1
services.crosssell.info,1
hello.myfonts.net,1
www.smartadserver.com,1
l.ecn-ldr.de,1
rum-collector-2.pingdom.net,1
rum-static.pingdom.net,1
logs1408.xiti.com,1
usersync.gumgum.com,2
102d0f33.de.ioam.de,1
rtb.mfadsrvr.com,5
pixel-sync.sitescout.com,4
experience-eu.piano.io,1
sync.srv.stackadapt.com,4
www.e-pages.dk,1
ade.googlesyndication.com,2
rumcdn.geoedge.be,1
dsp.nrich.ai,1
mp.4dex.io,1
fw.adsafeprotected.com,3
gw.geoedge.be,1
csi.gstatic.com,3
data.adsrvr.org,4
px.owneriq.net,3
gcdn.2mdn.net,1
pixel-eu.rubiconproject.com,3
5d5d89818c88d72c26dfc0db24ef3a71.safeframe.googlesyndication.com,1
id.crwdcntrl.net,3
code.piano.io,1
skydeutschland.demdex.net,2
r3---sn-4g5edn6k.c.2mdn.net,1
bid.g.doubleclick.net,3
www.iphh.net,1
www.awin1.com,1
edge-mcdn.secure.yahoo.com,1
csp.yahoo.com,1
prod-rtb.ad4mat.net,1
tag.idsync.analytics.yahoo.com,1
creative.mlsat02.de,1
aaa.artefact.com,1
tkdynba.millemedia.de,1
www.yahoo.com,1
guce.yahoo.com,1
5f470077111d954c206c4383a99454e9.safeframe.googlesyndication.com,1
d1513e28a74d71a2139deff0a58f0565.safeframe.googlesyndication.com,1
onevideosync.uplynk.com,1
aka-cdn.adtech.de,1
22.at.atwola.com,1
static-de.ad4mat.net,1
cdn.js7k.com,1
udc.yahoo.com,1
de.yahoo.com,1
consent.yahoo.com,1
geo.yahoo.com,1
ed232a28a3eb3c02353596319a0a94bd.safeframe.googlesyndication.com,1
sb.scorecardresearch.com,1
tracking.mlsat02.de,1
tkads.millemedia.de,1
ebs08.telekom.de,1
service.idsync.analytics.yahoo.com,1
opus.analytics.yahoo.com,1
casale-match.dotomi.com,1
adserver.adtech.de,1
eu-central-1-web-oao.ssp.yahoo.com,1
ams.creativecdn.com,1
tags.w55c.net,1
eu.qualtrics.com,1
clk.hitrackthat.com,1
logging.cmp-resources.link,1
o120960.ingest.sentry.io,1
nova.collect.igodigital.com,1
static-assets.qualtrics.com,1
7275979.collect.igodigital.com,1
siteintercept.qualtrics.com,3
cdn.idealo.com,1
znelqjnmge0lswgir-idealo.siteintercept.qualtrics.com,1
static-eu.payments-amazon.com,1
euc-widget.freshworks.com,1
ts-logo-hubspot.s3.eu-central-1.amazonaws.com,1
cdn.findologic.com,1
leto-personal-prod.samp.ext.zooplus.io,1
personalization-gdpr.samp.ext.zooplus.io,1
uxt-discount-banner-prod.shpp.ext.zooplus.io,1
